nom_fonds,isin,societe_gestion,categorie,perf_1y_pct,ter_pct,aum_meur
Franklin FTSE Korea UCITS ETF,IE00BHZRR030,Franklin,ETF,130.83,0.09,2716.0
iShares Physical Silver ETC,IE00B4NCWG09,BlackRock,ETF,114.8,0.2,3157.0
WisdomTree Physical Silver,JE00B1VS3333,WisdomTree,ETF,114.1,0.49,3015.0
iShares Gold Producers UCITS ETF,IE00B6R52036,BlackRock,ETF,91.99,0.55,4168.0
VanEck Gold Miners UCITS ETF,IE00BQQP9F84,VanEck,ETF,90.13,0.53,3621.0
VanEck Uranium and Nuclear Technologies UCITS ETF A,IE000M7V94E1,VanEck,ETF,89.94,0.55,1889.0
iShares MSCI Global Semiconductors UCITS ETF USD (Acc),IE000I8KRLL9,BlackRock,ETF,80.28,0.35,2153.0
VanEck Semiconductor UCITS ETF,IE00BMC38736,VanEck,ETF,72.49,0.35,4054.0
WisdomTree Petroleum,GB00B15KYC19,WisdomTree,ETF,67.05,0.49,11.0
WisdomTree WTI Crude Oil - EUR Daily Hedged,JE00B44F1611,WisdomTree,ETF,62.95,0.49,44.0
BNPP ICE Brent ÖL ETC,DE000PS701L2,BNPP,ETF,62.92,0.9,20.0
WisdomTree Bloomberg Brent Crude Oil,IE00BVFZGD11,WisdomTree,ETF,62.7,0.25,25.0
WisdomTree Brent Crude Oil,JE00B78CGV99,WisdomTree,ETF,61.87,0.49,1031.0
WisdomTree Bloomberg WTI Crude Oil,IE00BVFZGC04,WisdomTree,ETF,58.24,0.25,14.0
Xtrackers Physical Gold EUR Hedged ETC,DE000A1EK0G3,DWS Investment,ETF,55.54,0.59,2272.0
EUWAX Gold II,DE000EWG2LD7,EUWAX,ETF,55.43,0.0,4452.0
WisdomTree Core Physical Gold,JE00BN2CJ301,WisdomTree,ETF,52.67,0.12,1837.0
Xtrackers IE Physical Gold ETC Securities,DE000A2T0VU5,DWS Investment,ETF,52.47,0.11,6552.0
iShares Physical Gold ETC,IE00B4ND3602,BlackRock,ETF,52.44,0.12,35670.0
Amundi Physical Gold ETC (C),FR0013416716,Amundi Asset Management,ETF,52.44,0.12,11794.0
